** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,1
small-town.txt,44892,1000,6
town.txt,451617,10000,42
large-town.txt,2255053,50000,130
city.txt,4511688,100000,284
large-city.txt,22554540,500000,2227
metropolis.txt,45107513,1000000,4602
capital.txt,90209834,2000000,14823
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,2
town.txt,451617,10000,29
large-town.txt,2255053,50000,182
city.txt,4511688,100000,377
large-city.txt,22554540,500000,2476
metropolis.txt,45107513,1000000,7649
capital.txt,90209834,2000000,14742
